aquila	akuila
fa	ˈfa
abate	aˈbate
in	in
zero	ˈdzɛro
parole	paɾɔle
seme	ˈseme
rape	ˈrape
sabato	ˈsabato
libero	ˈlibero
aria	ˈarja
guerra	ˈɡwɛr.ra
relegate	re.leˈɡa.te
austria	ˈaustrja
ci	tʃi
bulgaria	bulɡaˈri.a
indonesia	indoˈnɛzja
romania	romaˈnia
slovenia	zloˈvɛnja
venezuela	venedˈdzwela
computer	komˈpjuter
macedonia	matʃeˈdɔnja
dare	ˈdare
cane	ˈkane
tempo	ˈtempo
secondo	seˈkondo
zebra	ˈdzɛːbra
qua	kwa
abaco	ˈabako
non	non
male	ˈmaː.le
remote	reˈmɔː.t̪e
carne	ˈkarne
fortune	forˈt̪uː.ne
grazie	ˈɡrattsje
cicisbeo	tʃi.tʃi.ˈzbɛ.o
burro	ˈbur.ro
me	me
pizza	ˈpit.tsa
sale	ˈsale
come	ˈkome
dove	ˈdove
business	ˈbiznis
card	kard̪
albero	ˈalbero
e	e
africa	ˈafrika
oceania	otʃeˈanja
asia	ˈazja
mare	ˈmare
hawaii	a.ˈwai
essere	ˈɛs.se.re
lui	ˈlui
ha	a
uno	ˈuno
due	ˈdue
tre	t̪re
quattro	ˈkwattro
cinque	ˈtʃinkwe
otto	ˈɔt.to
undici	ˈunditʃi
tredici	ˈtreditʃi
quattordici	kwatˈtorditʃi
quindici	ˈkwinditʃi
acido	ˈaː.tʃi.d̪o
musica	ˈmu.zi.ka
colore	koˈlore
con	kon
iota	ˈjɔːta
madrid	maˈdrid
casa	ˈkasa
pesce	ˈpeʃʃe
osso	ˈɔsso
bici	ˈbitʃi
cioccolata	tʃok.koˈlaː.ta
neon	ˈnɛ.on
kayak	ka.ˈjak
parigi	pa.ˈri.dʒi
se	se
ho	ɔ
sole	ˈsole
tu	t̪u
utopia	utoːpja
noi	ˈnoi
privacy	ˈpraivasi
algebra	al.d͡ʒɛ.ˈbra
testa	ˈtɛsta
gnu	ˈɲu
florida	ˈflɔ.ri.da
acute	aˈkute
zoo	ˈdzɔ.o
cola	ˈkoː.la
verona	veˈroːna
zanzibar	dzandzibar
dodici	ˈdoditʃi
fate	ˈfaː.t̪e
valle d'aosta	ˌva.lːe.daˈɔs.ta
campania	kamˈpaː.nja
friuli-venezia giulia	ˈfrjuli veˈnɛttsja ˈdʒulja
ancona	aŋˈkona
bologna	boˈloɲɲa
brescia	ˈbreʃːa
pavia	paˈviːa
ravenna	raˈvenna
progetto	proˈdʒɛtto
ser	sːɛ.r
gabardine	ɡa.barˈd̪iː.ne
maestoso	maeˈstozo
fare	ˈfaː.re
papa	ˈpaː.pa
zenit	ˈdzɛnit
grate	ˈɡrate
sumo	ˈsu.mo
primavera	primaˈvɛra
secreto	seˈkreto
creole	ˈkrɛːole
curio	ˈkurjo
italiano	it̪aˈljaː.no
cembalo	ˈtʃembalo
lasagna	laˈzaɲːa
formula	ˈfɔrmula
vita	ˈvita
volo	ˈvo.lo
via	ˈvia
vespa	ˈvɛspa
uovo	ˈwɔvo
zona	ˈdzɔːna
mano	ˈmaːno
pugno	ˈpuɲɲo
persia	ˈpɛrsja
automobile	au.to.ˈmɔ.bi.le
ratto	ˈrat̪t̪o
verme	ˈvɛrme
hai	ˈai̯
hanno	ˈanno
pero	ˈpe.ɾo
corda	ˈkɔrda
piuma	ˈpjuma
zanzara	d͡zanˈd͡zara
luna	ˈluː.na
lago	ˈlaɡo
largo	ˈlarɡo
leggero	ledˈdʒɛro
lingua	ˈliŋ.ɡwa
acqua	ˈakːwa
febbraio	febˈbraː.jo
libreria	li.breˈriː.a
martedì	mar.teˈdi
marzo	ˈmar.tso
mezzo	ˈmɛd.dz͡o
mercoledì	mer.ko.leˈdi
montagna	monˈtaɲɲa
neve	ˈneve
nuotare	nwoˈtare
sono	ˈsoː.no
oggi	ˈɔd.dʒi
oca	ˈɔka
ale	ˈa.le
influenza	iɱ.fluˈɛn.t̪s̪͡a
numero	ˈnu.me.ro
sapere	saˈpeː.re
passive	pas.ˈsi.ve
versatile	verˈsaː.t̪i.le
vento	ˈvɛnto
volare	voˈlare
vino	ˈvino
vipera	ˈvipera
uomo	ˈwɔmo
cadere	kaˈdere
castello	kaˈst̪ɛl.lo
chitarra	kiˈt̪ar.ra
chiodo	ˈkjɔdo
jolly	ˈdʒolli
narrative	nar.raˈt̪iː.ve
coda	ˈkoda
stare	ˈsta.re
fronte	ˈfron.t̪e
panna	ˈpan.na
ossigeno	osˈsidʒeno
terzo	ˈtɛrt͡so
quinto	ˈkwinto
settimo	ˈsɛttimo
gatto	ˈɡat̪.t̪o
ghiaccio	ˈɡjattʃo
ciao	ˈtʃaː.o
iarda	ˈjar.d̪a
e pur si muove	epˈpur si ˈmwɔː.ve
stage	staʒ
bue	ˈbu.e
buoi	ˈbwɔi̯
bruschetta	bruˈsket.ta
maestà	maeˈsta
fame	ˈfaː.me
-ese	ˈe.ze
pace	ˈpatʃe
padre	ˈpadre
pioggia	ˈpjɔddʒa
piovere	ˈpjɔvere
pelle	ˈpɛlle
che	ˈke
banca	ˈbaŋ.ka
italia	iˈtalja
statua	ˈstatwa
aceto	aˈt͡ʃeto
caos	ˈka.os
ala	ˈala
stella	ˈstella
cina	ˈtʃina
zucca	ˈtsukka
imbroglio	imˈbrɔʎʎo
minnesota	min.ne.ˈzɔ.ta
alba	ˈalba
albo	ˈal.bo
terra	ˈtɛr.ra
cantare	kanˈt̪are
dormire	dorˈmire
gente	ˈdʒɛnte
bellezza	belˈlet.tsa
bene	ˈbɛː.ne
bocca	ˈbokka
bicicletta	bi.t͡ʃiˈkle.tːa
bellissimo	belˈlis.si.mo
bello	ˈbɛl.lo
gelato	dʒ͡eˈlaː.t̪o
gennaio	dʒenˈnajo
geometria	d͡ʒeomeˈtria
giacca	ˈdʒ͡ak.̚ka
gli	ʎi
cuore	ˈkwɔre
breve	ˈbrɛːve
diciannove	ditʃanˈnɔve
è	ɛ
occhio	ˈɔkːjo
anno	ˈanno
fanno	ˈfan.no
le	le
pierre	piˈɛrre
immolate	im.moˈlaː.t̪e
facile	ˈfaː.tʃi.le
gerusalemme	dʒeruzaˈlemme
taxi	ˈtaksi
trireme	tri.ˈrɛ.me
moglie	ˈmo.ʎːe
va	va
dolce	ˈdol.tʃe
mese	ˈmeː.se
aprile	aˈpriː.le
luglio	ˈluʎʎo
maggio	ˈmad.dʒo
bianco	ˈbjanko
corno	ˈkɔrno
d'	d‿
spaghetti	spaˈɡet.ti
clone	ˈklo.ne
cioccolato	tʃok.koˈlaː.to
angelo	anˈd͡ʒɛlɔ
madre	ˈmadre
fresco	ˈfreː.sko
supreme	su.ˈprɛ.me
vanga	ˈvanɡa
legno	ˈleɲɲo
aurora	auˈrɔra
dire	ˈd̪iː.re
mangiare	man.ˈdʒa.re
vedere	veˈdere
là	la
loro	ˈloro
ginocchio	dʒiˈnɔkkjo
lunedì	lu.neˈdi
abbiamo	abˈbjamo
avete	aˈvete
puglia	ˈpuʎʎa
ogni	ˈoɲːi
cielo	ˈtʃɛlo
recede	reˈtʃɛde
eureka	ˈɛu̯.re.ka
circa	ˈtʃir.ka
cena	ˈtʃena
geisha	ˈɡɛiʃʃa
europa	euˈrɔpa
antimonio	antiˈmɔnjo
capo	ˈkapo
cove	ˈko.ve
dote	ˈdɔ.te
gala	ˈɡaː.la
lacuna	laˈkuna
schema	ˈskɛ.ma
vie	ˈviː.e
volta	ˈvɔlta
fascia	ˈfaʃ.ʃa
saliva	saˈliː.va
insalata	in.saˈlaː.t̪a
scimmia	ˈʃimmja
fermata	ferˈmata
piccolo	ˈpikːolo
khat	kat
siamo	ˈsjamo
sia	ˈsi.a
ebreo	e.ˈbrɛ.o
pianta	ˈpjan.ta
sapore	sa.ˈpo.re
uragano	uraˈɡano
insieme	inˈsjɛme
firenze	fiˈrɛntse
orecchio	ɔˈrekkjo
giorgio	ˈdʒordʒo
grecia	ˈɡrɛtʃa
ponte	ˈpon.te
notte	ˈnɔtte
novembre	noˈvɛm.bre
nuovo	ˈnwɔvo
suono	ˈswɔː.no
sabbia	ˈsabbja
stupido	ˈst̪uː.pi.d̪o
onore	o.ˈno.re
eroe	e.ˈrɔ.e
gamba	ˈɡamba
piede	ˈpjɛde
fuoco	ˈfwɔko
qui	kwi
miele	ˈmjɛ.le
temere	teˈmere
domenica	d̪oˈmeː.ni.ka
quando	ˈkwando
unghia	ˈunɡja
dente	ˈdɛnte
spesso	ˈspesso
radice	raˈditʃe
fiume	ˈfjume
giorno	ˈdʒorno
tedesco	teˈdesko
tutto	ˈtutto
tirare	t̪iˈrare
dolore	do.ˈlo.re
strada	ˈstrada
valere	va'le.re
marito	maˈrito
pomodoro	po.moˈdɔː.ro
creme	ˈkrɛ.me
iberia	iˈbɛrja
venire	veˈnire
castellano	kastelˈlano
alfabeto	al.fa.ˈbɛ.to
morire	moˈrire
giocare	dʒoˈkare
attore	at.ˈto.re
muro	ˈmu.ro
lancia	ˈlant͡ʃa
spagnolo	spaˈɲɲɔ.lo
pesto	ˈpesto
agosto	aˈɡoː.sto
zagara	ˈdzaɡara
zazzera	ˈtsattsera
tunnel	ˈt̪un.nel
zecca	ˈtsekka
zeppa	ˈtseppa
zinco	ˈtsiŋko
zirlo	ˈt͡sirlo
vicino	viˈtʃino
zolla	ˈtsɔlla
invidia	inˈvidja
parlare	par.ˈla.re
zucchero	ˈdzukːero
zuffa	ˈtsuffa
andrea	anˈd̪rɛː.a
solo	ˈso.lo
abbracciare	abːraˈtːʃaːre
ora	ˈo.ra
abusare	abuˈzare
salita	saˈlita
città	t͡ʃit.ˈta
cucinare	kutʃiˈnare
aglio	ˈaʎʎo
perché	perˈke
fetta	ˈfet.ta
acciaio	atˈtʃajo
ananas	ˈa.na.nas
abbandono	abbanˈdono
abbigliamento	abbiʎʎaˈmento
questo	ˈkwe.sto
quello	ˈkwello
abito	ˈabito
s-	s
lanciare	lanˈtʃare
grande	ˈɡrande
natale	na.ˈta.le
bambino	bamˈbino
barbiere	barˈbjɛ.re
figlio	ˈfiʎːo
quaggiù	kwaˈdd͡ʒu
qualcosa	kwal.ˈkɔza
qualcuno	kwal.ˈkuno
tagliare	taʎˈʎare
donna	ˈdɔnna
serpente	serˈpɛnte
uccidere	utˈtʃidere
cinema	ˈtʃiː.ne.ma
acero	ˈatʃero
orca	ˈɔrka
altro	ˈaltro
lungo	ˈlunɡo
animale	aniˈmale
collo	ˈkɔllo
udire	uˈdire
vivere	ˈvivere
ridere	ˈridere
sinistra	siˈnistra
lontano	lonˈtano
freddo	ˈfreddo
pietra	ˈpjɛtra
macchia	ˈmak.kja
nuvola	ˈnuvola
piacere	pjaˈtʃere
pericolo	pe.ˈri.ko.lo
ultimo	ˈultimo
pieno	ˈpjɛno
conoscere	koˈnoʃʃere
goccia	ˈɡottʃa
cucire	kuˈtʃire
quasi	ˈkwaː.zi
quasi-	ˈkwaː.zi
hawaiano	a.wa.ˈja.no
struggere	ˈstrudd͡ʒere
nero	ˈnero
crudele	kru.ˈdɛ.le
naso	ˈnaso
salmone	salˈmone
scienza	ˈʃɛn.ts͡a
stretto	ˈstretːo
ieri	ˈjɛː.ri
isola	ˈiː.zo.la
spingere	ˈspindʒere
caldo	ˈkaldo
corse	ˈkorse
giro	ˈdʒi.ro
chino	ˈkino
pena	ˈpena
casino	kaˈziː.no
epigone	eˈpiːɡɔne
domani	doˈmaː.ni
papabile	pa.paˈbi.le
bile	ˈbile
amore	a.ˈmo.re
meraviglioso	meraviʎˈʎozo
oro	ˈɔro
spagna	ˈspa.ɲɲa
europeo	eu.ro.ˈpɛ.o
birra	ˈbir.ra
bireme	bi.ˈrɛ.me
c'è	ˈtʃɛ
cognoscente	koɲoˈʃɛnte
nota bene	ˈnɔta ˈbɛne
verde	ˈver.de
varicose	va.riˈko.se
giovedì	dʒo.veˈdi
venerdì	ve.nerˈdi
rete	ˈrete
famiglia	faˈmiʎʎa
caffè	kafˈfɛ
uranio	uˈranjo
urano	uˈrano
broccoli	ˈbrɔk.̚ko.li
gioia	ˈdʒɔja
respirare	respiˈrare
prima	ˈpriː.ma
pesante	peˈsante
schiavo	ˈskjavo
schiavitù	skjaviˈtu
sodio	ˈsɔdjo
cloro	ˈklɔro
cromo	ˈkrɔmo
cobalto	koˈbalto
selenio	seˈlɛnjo
bromo	ˈbrɔmo
rubidio	ruˈbidjo
niobio	ˈnjɔbjo
rutenio	ruˈtɛnjo
cadmio	ˈkadmjo
indio	ˈindjo
cesio	ˈtʃɛzjo
tantalio	tanˈtaljo
renio	ˈrɛnjo
osmio	ˈɔzmjo
iridio	iˈridjo
platino	ˈplatino
mercurio	merˈkurjo
astato	aˈstato
francio	ˈfrantʃo
praseodimio	prazeoˈdimjo
neodimio	neoˈdimjo
europio	euˈrɔpjo
gadolinio	ɡadoˈlinjo
terbio	ˈtɛrbjo
erbio	ˈɛrbjo
tulio	ˈtuljo
torio	ˈtɔrjo
plutonio	pluˈtɔnjo
americio	ameˈrit͡ʃo
mendelevio	mendeˈlɛvjo
identikit	identiˈkit
corto	ˈkorto
odio	ˈɔdjo
geografia	dʒeoɡraˈfi.a
evidente	eviˈdɛnte
gusto	ˈɡuː.st̪o
bisogno	biˈzoɲ.ɲo
entro	ˈentro
soldo	ˈsɔldo
centimetro	tʃen.ˈti.me.tro
amico	a.ˈmi.ko
grigie	ˈgridʒe
favore	fa.ˈvo.re
creare	kreˈare
cieco	ˈtʃɛko
fuggire	fudˈdʒire
frutta	ˈfrutta
frigorifero	friɡoˈrifero
valle	ˈva.lːe
chiesa	ˈkjɛza
già	ˈdʒa
egitto	eˈdʒit.to
finestra	fiˈnɛː.st̪ra
finisse	fiˈnisse
ridicolo	ri.ˈdi.ko.lo
principe	ˈprin.tʃi.pe
atmosfera	atmosˈfɛra
fortuna	forˈt̪uː.na
forbici	ˈfɔrbitʃi
poso	ˈpɔso
traduce	traˈdutʃe
budget	ˈbaddʒet
difese	diˈfese
allora	alˈlora
avvenimento	avveniˈmento
offese	ofˈfese
beve	ˈbeve
pronunciare	pronunˈtʃare
bis	bis
sorriso	sorˈriso
anche	ˈaŋ.ke
germania	dʒerˈmanja
svizzera	ˈzvittsera
così	koˈsi
elio	ˈɛ.ljo
saturno	saˈturno
cripto	ˈkripto
sedere	seˈdere
giallo	ˈdʒ͡al.lo
quinta	ˈkwinta
gnocchi	ˈɲɔk.ki
microonda	mikroˈonda
nazione	natːˈsjoːne
aggettivo	addʒetˈtivo
farmacia	farmaˈtʃi.a
medicina	mediˈt͡ʃina
abbecedario	ab.be.tʃe.ˈda.rjo
ritorno	riˈtorno
portogallo	por.t̪oˈɡal.̚lo
belgio	ˈbɛldʒo
venezia	veˈnɛttsja
regalo	re.ˈɡaː.lo
finirai	finiˈrai
gnocca	ˈɲɔkka
a	a
baviera	baˈvjeːra
elio	ˈɛ.ljo
terra	ˈtɛrra
adele	əˈdɛlɛ
continuo	konˈtinwo
poco	ˈpɔko
secco	ˈsekko
reo	ˈrɛ.o
sera	ˈseː.ra
faccio	ˈfat.tʃ͡o
boh	ɓɔʔ
sci	ˈʃi
diastole	diˈastole
formaggio	for.ˈmad.dʒo
ciliegia	tʃ͡iˈljɛː.dʒ͡a
enclave	eŋˈklave
prodotto	proˈdotto
produco	proˈduko
produci	proˈdut͡ʃi
sentisse	senˈtisse
rapa	ˈrapa
